2018-03-11 12:43:46, No Motion
2018-03-11 12:43:46, No Motion
2018-03-11 12:43:50, Motion
2018-03-11 12:43:50, Motion
2018-03-11 12:44:58, No Motion
2018-03-11 12:44:58, No Motion
2018-03-11 12:44:58, Motion
2018-03-11 12:44:58, Motion
2018-03-11 12:45:52, No Motion
2018-03-11 12:45:52, No Motion
2018-03-11 12:45:59, Motion
2018-03-11 12:45:59, Motion
2018-03-11 12:49:05, No Motion
2018-03-11 12:49:05, No Motion
2018-03-11 12:49:19, Motion
2018-03-11 12:49:19, Motion
2018-03-11 12:53:59, No Motion
2018-03-11 12:53:59, No Motion
2018-03-11 12:54:03, Motion
2018-03-11 12:54:03, Motion
2018-03-11 12:55:17, No Motion
2018-03-11 12:55:17, No Motion
2018-03-11 12:55:37, Motion
2018-03-11 12:55:37, Motion
2018-03-11 13:02:40, No Motion
2018-03-11 13:02:40, No Motion
2018-03-11 13:02:40, Motion
2018-03-11 13:02:40, Motion
2018-03-11 13:04:47, No Motion
2018-03-11 13:04:47, No Motion
2018-03-11 13:04:47, Motion
2018-03-11 13:04:47, Motion
2018-03-11 13:05:02, No Motion
2018-03-11 13:05:02, No Motion
2018-03-11 13:05:14, Motion
2018-03-11 13:05:14, Motion
2018-03-11 13:06:02, No Motion
2018-03-11 13:06:02, No Motion
2018-03-11 13:06:04, Motion
2018-03-11 13:06:04, Motion
2018-03-11 13:07:16, No Motion
2018-03-11 13:07:16, No Motion
2018-03-11 13:07:23, Motion
2018-03-11 13:07:23, Motion
2018-03-11 13:07:45, No Motion
2018-03-11 13:07:45, No Motion
2018-03-11 13:07:46, Motion
2018-03-11 13:07:46, Motion
2018-03-11 13:08:33, No Motion
2018-03-11 13:08:33, No Motion
2018-03-11 13:08:38, Motion
2018-03-11 13:08:38, Motion
2018-03-11 13:09:25, No Motion
2018-03-11 13:09:25, No Motion
2018-03-11 13:09:47, Motion
2018-03-11 13:09:47, Motion
2018-03-11 13:10:39, No Motion
2018-03-11 13:10:39, No Motion
2018-03-11 13:10:42, Motion
2018-03-11 13:10:42, Motion
2018-03-11 13:10:58, No Motion
2018-03-11 13:10:58, No Motion
2018-03-11 13:11:06, Motion
2018-03-11 13:11:06, Motion
2018-03-11 13:12:39, No Motion
2018-03-11 13:12:39, No Motion
2018-03-11 13:12:46, Motion
2018-03-11 13:12:46, Motion
2018-03-11 13:13:59, No Motion
2018-03-11 13:13:59, No Motion
2018-03-11 13:14:15, Motion
2018-03-11 13:14:15, Motion
2018-03-11 13:14:29, No Motion
2018-03-11 13:14:29, No Motion
2018-03-11 13:14:36, Motion
2018-03-11 13:14:36, Motion
2018-03-11 13:14:50, No Motion
2018-03-11 13:14:50, No Motion
2018-03-11 13:14:57, Motion
2018-03-11 13:14:57, Motion
2018-03-11 13:15:25, No Motion
2018-03-11 13:15:25, No Motion
2018-03-11 13:15:35, Motion
2018-03-11 13:15:35, Motion
2018-03-11 13:16:29, No Motion
2018-03-11 13:16:29, No Motion
2018-03-11 13:16:33, Motion
2018-03-11 13:16:33, Motion
2018-03-11 13:18:20, No Motion
2018-03-11 13:18:20, No Motion
2018-03-11 13:18:20, Motion
2018-03-11 13:18:20, Motion
2018-03-11 13:18:38, No Motion
2018-03-11 13:18:38, No Motion
2018-03-11 13:18:39, Motion
2018-03-11 13:18:39, Motion
2018-03-11 13:32:21, No Motion
2018-03-11 13:32:21, No Motion
2018-03-11 13:32:24, Motion
2018-03-11 13:32:24, Motion
2018-03-11 13:35:29, No Motion
2018-03-11 13:35:29, No Motion
2018-03-11 13:35:55, Motion
2018-03-11 13:35:55, Motion
2018-03-11 13:36:15, No Motion
